Time	Cache_id	cache_time	no	cache_next	cache_occurance
55:46.4	2	1	0	2	1
58:46.4	16	181	1	32	1
01:46.4	2	361	2	4	2
04:46.4	20	541	3	138	1
07:46.4	2	721	4	5	3
10:46.4	2	901	5	6	4
13:46.4	2	1081	6	9	5
16:46.4	3	1261	7	8	1
19:46.4	3	1441	8	18	2
22:46.4	2	1621	9	10	6
25:46.4	2	1801	10	12	7
28:46.4	9	1981	11	54	1
31:46.4	2	2161	12	13	8
34:46.4	2	2341	13	15	9
37:46.4	17	2521	14	184	1
40:46.4	2	2701	15	20	10
43:46.4	5	2881	16	17	1
46:46.4	5	3061	17	30	2
49:46.4	3	3241	18	21	3
52:46.4	18	3421	19	35	1
55:46.4	2	3601	20	22	11
58:46.4	3	3781	21	25	4
01:46.4	2	3961	22	23	12
04:46.4	2	4141	23	42	13
07:46.4	4	4321	24	60	1
10:46.4	3	4501	25	33	5
13:46.4	6	4681	26	31	1
16:46.4	19	4861	27	65	1
19:46.4	10	5041	28	41	1
22:46.4	7	5221	29	53	1
25:46.4	5	5401	30	73	3
28:46.4	6	5581	31	34	2
31:46.4	16	5761	32	128	2
34:46.4	3	5941	33	36	6
37:46.4	6	6121	34	51	3
40:46.4	18	6301	35	80	2
43:46.4	3	6481	36	37	7
46:46.4	3	6661	37	39	8
49:46.4	8	6841	38	43	1
52:46.4	3	7021	39	47	9
55:46.4	1	7201	40	45	1
58:46.4	10	7381	41	57	2
01:46.4	2	7561	42	44	14
04:46.4	8	7741	43	50	2
07:46.4	2	7921	44	58	15
10:46.4	1	8101	45	63	2
13:46.4	12	8281	46	72	1
16:46.4	3	8461	47	48	10
19:46.4	3	8641	48	52	11
22:46.4	13	8821	49	87	1
25:46.4	8	9001	50	69	3
28:46.4	6	9181	51	55	4
31:46.4	3	9361	52	56	12
34:46.4	7	9541	53	67	2
37:46.4	9	9721	54	144	2
40:46.4	6	9901	55	61	5
43:46.4	3	10081	56	78	13
46:46.4	10	10261	57	85	3
49:46.4	2	10441	58	59	16
52:46.4	2	10621	59	64	17
55:46.4	4	10801	60	71	2
58:46.4	6	10981	61	70	6
01:46.4	11	11161	62	84	1
04:46.4	1	11341	63	86	3
07:46.4	2	11521	64	66	18
